ID,Sexo,Ciudad,Asistencia,Nota_Final,Situación_Laboral,Nivel_Educativo_Prev,Conectividad_Hogar,Rango_Etario,Estado_Académico
L-2025-1115,F,Lomas de Zamora,33,"5,50",Empleado en relación de dependencia,Primario incompleto,Si,35 a 44,Desaprobado
L-2025-1116,M,Avellaneda,34,"7,58",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1117,M,La Matanza,35,"7,00",Monotributista / independiente,Terciario en curso,No,55 y más,Aprobado
L-2025-1118,F,Mar del Plata,33,"5,60",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1119,M,Lomas de Zamora,33,"7,88",Empleo informal,Secundario completo,Si,45 a 54,Aprobado
L-2025-1120,M,La Plata,39,"10,00",Empleo informal,Secundario completo,No,25 a 34,Destacado
L-2025-1121,F,La Plata,35,"9,78",Monotributista / independiente,Universitario incompleto,Si,25 a 34,Destacado
L-2025-1122,M,La Matanza,36,"9,21",Desempleado,Terciario en curso,No,25 a 34,Destacado
L-2025-1123,F,Avellaneda,37,"5,95",Monotributista / independiente,Secundario incompleto,Si,18 a 24,Desaprobado
L-2025-1124,M,La Plata,16,"4,62",Empleado en relación de dependencia,Primario completo,Si,35 a 44,Desaprobado
L-2025-1125,F,La Plata,34,"8,64",Empleado en relación de dependencia,Terciario completo,Si,45 a 54,Aprobado
L-2025-1126,F,Mar del Plata,31,,Desempleado,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1127,F,Quilmes,15,"8,64",Desempleado,Secundario completo,Si,45 a 54,Aprobado
L-2025-1128,M,Merlo,34,"7,14",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1129,F,Quilmes,39,"4,46",Monotributista / independiente,Sin escolaridad formal,No,25 a 34,Aprobado
L-2025-1130,M,Lanús,31,"8,27",Empleo informal,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1131,M,Mar del Plata,35,"7,86",Desempleado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1132,M,La Plata,36,"10,00",Monotributista / independiente,Secundario completo,Si,45 a 54,Destacado
L-2025-1133,M,Lanús,35,"8,79",Monotributista / independiente,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1134,M,La Plata,35,"4,27",Desempleado,Sin escolaridad formal,No,35 a 44,Desaprobado
L-2025-1135,F,La Matanza,35,"5,83",Empleo informal,Secundario completo,No,35 a 44,Desaprobado
L-2025-1136,F,La Plata,33,"5,47",Monotributista / independiente,Primario completo,Si,45 a 54,Aprobado
L-2025-1137,M,Lomas de Zamora,34,"6,65",Empleo informal,Sin escolaridad formal,Si,18 a 24,Aprobado
L-2025-1138,M,La Plata,32,"3,90",Empleo informal,Terciario en curso,Si,55 y más,Desaprobado
L-2025-1139,F,Merlo,22,"7,70",Ama de casa / tareas de cuidado,Terciario en curso,No,25 a 34,Aprobado
L-2025-1140,M,La Plata,33,"7,61",Ama de casa / tareas de cuidado,Universitario incompleto,No,25 a 34,Aprobado
L-2025-1141,F,La Plata,17,"7,11",Empleado en relación de dependencia,Secundario incompleto,Si,55 y más,Aprobado
L-2025-1142,F,La Plata,38,"8,42",Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1143,F,General San Martín,18,"8,33",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1144,M,La Matanza,22,"10,00",Empleado en relación de dependencia,Universitario incompleto,Si,18 a 24,Destacado
L-2025-1145,M,La Plata,37,"8,40",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1146,F,Almirante Brown,35,"5,83",Monotributista / independiente,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1147,F,La Plata,36,"10,00",Empleo informal,Secundario completo,No,25 a 34,Destacado
L-2025-1148,F,Quilmes,36,"8,81",Desempleado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1149,F,La Plata,35,"7,14",Monotributista / independiente,Primario completo,Si,55 y más,Aprobado
L-2025-1150,M,General San Martín,31,"9,15",Monotributista / independiente,Secundario completo,No,25 a 34,Destacado
L-2025-1151,M,Quilmes,38,"8,30",Ama de casa / tareas de cuidado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1152,F,Merlo,36,"8,60",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1153,M,Quilmes,33,"7,00",Monotributista / independiente,Primario incompleto,Si,25 a 34,Aprobado
L-2025-1154,F,Merlo,18,"5,17",Ama de casa / tareas de cuidado,Secundario completo,No,35 a 44,Desaprobado
L-2025-1155,M,La Plata,32,"6,13",Ama de casa / tareas de cuidado,Universitario completo,Si,45 a 54,Aprobado
L-2025-1156,M,La Matanza,35,"5,71",Monotributista / independiente,Secundario incompleto,No,55 y más,Desaprobado
L-2025-1157,M,Almirante Brown,34,"4,15",Empleo informal,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1158,M,Lomas de Zamora,33,"7,37",Desempleado,Secundario completo,Si,35 a 44,Aprobado
L-2025-1159,F,La Matanza,35,"10,00",Monotributista / independiente,Universitario incompleto,Si,25 a 34,Destacado
L-2025-1160,M,General San Martín,34,"8,26",Empleo informal,Secundario completo,Si,45 a 54,Aprobado
L-2025-1161,F,Merlo,33,"9,74",Ama de casa / tareas de cuidado,Secundario completo,No,25 a 34,Destacado
L-2025-1162,M,Almirante Brown,39,"7,14",Desempleado,Primario completo,No,45 a 54,Aprobado
L-2025-1163,F,La Matanza,37,"9,70",Empleo informal,Terciario en curso,Si,25 a 34,Destacado
L-2025-1164,F,La Matanza,34,"5,97",No declara,Secundario completo,No,35 a 44,Desaprobado
L-2025-1165,F,Mar del Plata,32,"8,01",No declara,Secundario completo,Si,25 a 34,Aprobado
L-2025-1166,F,La Plata,30,"7,09",Trabajos esporádicos,Universitario incompleto,Si,55 y más,Aprobado
L-2025-1167,F,Lanús,33,"6,62",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1168,M,Quilmes,33,"7,25",Monotributista / independiente,Universitario incompleto,Si,35 a 44,Aprobado
L-2025-1169,M,La Matanza,35,"9,52",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Destacado
L-2025-1170,F,Quilmes,33,"4,28",Monotributista / independiente,Secundario completo,Si,45 a 54,Destacado
L-2025-1171,M,La Plata,33,"7,42",Monotributista / independiente,Secundario completo,Si,35 a 44,Aprobado
L-2025-1172,F,Avellaneda,35,"8,22",Desempleado,Secundario completo,No,25 a 34,Aprobado
L-2025-1173,M,La Plata,34,"9,41",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Destacado
L-2025-1174,F,General San Martín,38,"8,88",Empleado en relación de dependencia,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1175,M,Merlo,38,"6,06",Monotributista / independiente,Secundario completo,Si,55 y más,Aprobado
L-2025-1176,F,Quilmes,35,"5,73",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Desaprobado
L-2025-1177,M,Merlo,35,"8,06",Empleado en relación de dependencia,Universitario completo,Si,25 a 34,Aprobado
L-2025-1178,F,La Plata,34,"7,82",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1179,F,Lomas de Zamora,32,"6,08",No declara,Universitario incompleto,Si,18 a 24,Aprobado
L-2025-1180,M,General San Martín,36,"7,04",Trabajos esporádicos,Secundario completo,Si,18 a 24,Aprobado
L-2025-1181,M,Mar del Plata,36,"8,12",Empleo informal,Secundario completo,Si,45 a 54,Aprobado
L-2025-1182,F,La Matanza,34,"3,14",Monotributista / independiente,Terciario en curso,Si,55 y más,Desaprobado
L-2025-1183,M,Mar del Plata,34,"8,99",Ama de casa / tareas de cuidado,Universitario incompleto,Si,45 a 54,Aprobado
L-2025-1184,M,La Matanza,32,"5,20",Empleado en relación de dependencia,Sin escolaridad formal,Si,18 a 24,Desaprobado
L-2025-1185,F,La Matanza,34,"5,72",Trabajos esporádicos,Universitario completo,Si,18 a 24,Desaprobado
L-2025-1186,F,Mar del Plata,35,"3,79",Empleado en relación de dependencia,Universitario incompleto,No,55 y más,Desaprobado
L-2025-1187,F,Lomas de Zamora,33,"9,21",Ama de casa / tareas de cuidado,Universitario completo,No,25 a 34,Destacado
L-2025-1188,F,La Matanza,36,"8,99",Monotributista / independiente,Secundario completo,Si,45 a 54,Aprobado
L-2025-1189,M,Lanús,26,"7,81",Empleo informal,Secundario completo,Si,25 a 34,Aprobado
L-2025-1190,M,Almirante Brown,34,"8,29",Empleado en relación de dependencia,Secundario completo,Si,45 a 54,Aprobado
L-2025-1191,F,Lanús,36,"4,46",Ama de casa / tareas de cuidado,Secundario incompleto,No,25 a 34,Destacado
L-2025-1192,F,La Matanza,33,"9,52",No declara,Secundario completo,Si,18 a 24,Destacado
L-2025-1193,M,Mar del Plata,35,"7,49",Empleo informal,Terciario en curso,No,35 a 44,Aprobado
L-2025-1194,F,General San Martín,38,"6,69",Desempleado,Terciario completo,Si,35 a 44,Aprobado
L-2025-1195,F,Quilmes,36,"5,63",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1196,M,General San Martín,36,"3,26",Empleado en relación de dependencia,Primario completo,Si,55 y más,Desaprobado
L-2025-1197,M,Lanús,35,"10,00",Empleo informal,Secundario completo,Si,25 a 34,Destacado
L-2025-1198,M,Mar del Plata,38,"6,48",Ama de casa / tareas de cuidado,Secundario completo,No,35 a 44,Aprobado
L-2025-1199,F,La Plata,34,"4,46",Ama de casa / tareas de cuidado,Sin escolaridad formal,Si,35 a 44,Desaprobado
L-2025-1200,M,La Plata,38,"4,08",No declara,Secundario incompleto,No,25 a 34,Destacado
L-2025-1201,M,La Matanza,32,"5,62",Monotributista / independiente,Sin escolaridad formal,Si,35 a 44,Desaprobado
L-2025-1202,M,La Plata,32,"6,20",Ama de casa / tareas de cuidado,Terciario completo,Si,35 a 44,Aprobado
L-2025-1203,F,La Plata,35,"6,89",Desempleado,Primario incompleto,Si,35 a 44,Aprobado
L-2025-1204,F,La Matanza,34,"7,58",Empleo informal,Primario completo,Si,45 a 54,Aprobado
L-2025-1205,F,La Matanza,15,"7,39",Empleado en relación de dependencia,Universitario incompleto,No,45 a 54,Aprobado
L-2025-1206,F,Lanús,34,"5,44",Empleo informal,Secundario incompleto,Si,18 a 24,Desaprobado
L-2025-1207,F,Mar del Plata,35,"5,88",Desempleado,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1208,M,Mar del Plata,35,"7,35",Empleo informal,Secundario completo,No,18 a 24,Aprobado
L-2025-1209,F,Lomas de Zamora,34,"6,80",Empleo informal,Secundario completo,Si,35 a 44,Aprobado
L-2025-1210,F,La Matanza,34,"7,55",Ama de casa / tareas de cuidado,Secundario completo,Si,55 y más,Aprobado
L-2025-1211,F,La Matanza,33,"6,89",Empleado en relación de dependencia,Secundario completo,Si,45 a 54,Aprobado
L-2025-1212,F,Almirante Brown,34,"3,98",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1213,F,Mar del Plata,32,"8,44",Monotributista / independiente,Primario completo,No,25 a 34,Destacado
L-2025-1214,F,General San Martín,31,"10,00",Desempleado,Universitario incompleto,Si,45 a 54,Destacado
L-2025-1215,M,La Matanza,34,"9,47",Empleado en relación de dependencia,Terciario en curso,Si,25 a 34,Destacado
L-2025-1216,M,La Matanza,36,"10,00",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Destacado
L-2025-1217,M,La Plata,34,"5,23",Empleo informal,Primario completo,Si,25 a 34,Destacado
L-2025-1218,F,General San Martín,38,"7,82",Ama de casa / tareas de cuidado,Secundario incompleto,Si,18 a 24,Aprobado
L-2025-1219,F,La Matanza,33,"6,04",Empleado en relación de dependencia,Universitario incompleto,No,18 a 24,Aprobado
L-2025-1220,F,Almirante Brown,38,"5,70",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Desaprobado
L-2025-1221,F,Quilmes,35,"6,08",Monotributista / independiente,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1222,M,Avellaneda,35,"6,27",Empleo informal,Secundario incompleto,No,35 a 44,Aprobado
L-2025-1223,F,Lomas de Zamora,37,"5,31",Monotributista / independiente,Primario completo,No,55 y más,Aprobado
L-2025-1224,F,Lomas de Zamora,33,"4,37",Monotributista / independiente,Secundario completo,Si,25 a 34,Destacado
L-2025-1225,F,General San Martín,33,"4,46",Monotributista / independiente,Sin escolaridad formal,No,25 a 34,Aprobado
L-2025-1226,F,Mar del Plata,34,"6,42",Empleo informal,Secundario completo,Si,35 a 44,Aprobado
L-2025-1227,M,Quilmes,32,"5,70",Ama de casa / tareas de cuidado,Secundario incompleto,Si,55 y más,Desaprobado
L-2025-1228,M,La Plata,40,"7,00",Empleo informal,Primario completo,No,55 y más,Aprobado
L-2025-1229,F,La Matanza,35,"5,12",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Desaprobado
L-2025-1230,F,Avellaneda,16,"7,01",Ama de casa / tareas de cuidado,Primario incompleto,Si,18 a 24,Aprobado
L-2025-1231,M,La Plata,38,"8,83",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1232,M,Quilmes,36,"8,61",Desempleado,Universitario incompleto,Si,25 a 34,Aprobado
L-2025-1233,M,Merlo,32,"8,57",Desempleado,Secundario incompleto,No,25 a 34,Aprobado
L-2025-1234,F,Mar del Plata,21,"7,39",Empleado en relación de dependencia,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1235,M,La Matanza,36,"5,55",Desempleado,Secundario completo,No,18 a 24,Desaprobado
L-2025-1236,F,La Plata,34,"7,85",Desempleado,Secundario completo,No,25 a 34,Aprobado
L-2025-1237,M,Merlo,35,"8,77",Empleo informal,Secundario incompleto,No,45 a 54,Aprobado
L-2025-1238,F,Lomas de Zamora,34,"8,25",No declara,Secundario completo,No,25 a 34,Aprobado
L-2025-1239,F,Lanús,34,"8,82",Ama de casa / tareas de cuidado,Universitario incompleto,Si,25 a 34,Aprobado
L-2025-1240,M,La Matanza,18,"7,78",Ama de casa / tareas de cuidado,Secundario completo,Si,35 a 44,Aprobado
L-2025-1241,M,Almirante Brown,37,"7,40",Monotributista / independiente,Terciario en curso,Si,18 a 24,Aprobado
L-2025-1242,F,Mar del Plata,34,"6,14",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1243,M,Lomas de Zamora,18,"6,49",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1244,F,Almirante Brown,32,"8,65",Desempleado,Secundario completo,No,25 a 34,Aprobado
L-2025-1245,F,La Plata,34,"8,25",Empleo informal,Secundario completo,No,25 a 34,Aprobado
